distrito,capacidade,qtd_unidades,populacao,cobertura,pressao
MARSILAC,3,3,8426.0,0.00035604082601471633,2808.6666666666665
SANTO AMARO,27,19,74447.0,0.0003626741171571722,3918.2631578947367
IPIRANGA,43,27,112222.0,0.0003831690755823279,4156.37037037037
BELA VISTA,29,17,73235.0,0.00039598552604628933,4307.941176470588
MOOCA,34,22,80330.0,0.0004232540769326528,3651.3636363636365
BARRA FUNDA,7,7,16115.0,0.0004343779087806392,2302.1428571428573
BUTANTA,25,17,53836.0,0.0004643732818188573,3166.823529411765
VILA MARIANA,62,26,132226.0,0.00046889416604903723,5085.615384615385
SE,14,14,26693.0,0.0005244820739519724,1906.642857142857
PARI,11,7,19069.0,0.000576852483087734,2724.1428571428573
